| Process Id | Arrival Time | Burst Time | Completion Time | Turn Around Time | Waiting Time | Response Time |
|       1494 |          965 |          1 |             966 |                1 |            0 |             0 |
|       1516 |          624 |          1 |             627 |                3 |            2 |             2 |
|       1542 |          360 |          1 |             362 |                2 |            1 |             1 |
|       1554 |          628 |          1 |             629 |                1 |            0 |             0 |
|       1600 |          429 |          1 |             430 |                1 |            0 |             0 |
|       1618 |          417 |          1 |             419 |                2 |            1 |             1 |
|       1638 |          593 |          1 |             595 |                2 |            1 |             1 |
|       1665 |          160 |          1 |             161 |                1 |            0 |             0 |
|       1675 |          847 |          1 |             848 |                1 |            0 |             0 |
|       1681 |          130 |          1 |             133 |                3 |            2 |             2 |
|       1686 |          431 |          1 |             432 |                1 |            0 |             0 |
|       1690 |          705 |          1 |             707 |                2 |            1 |             1 |
|       1738 |          613 |          1 |             615 |                2 |            1 |             1 |
|       1744 |          774 |          1 |             775 |                1 |            0 |             0 |
|       1745 |          180 |          1 |             181 |                1 |            0 |             0 |
|       1753 |          160 |          1 |             165 |                5 |            4 |             4 |
|       1760 |           27 |          1 |              65 |               38 |           37 |            37 |
|       1768 |          928 |          1 |             930 |                2 |            1 |             1 |
|       1789 |          674 |          1 |             677 |                3 |            2 |             2 |
|       1846 |          553 |          1 |             554 |                1 |            0 |             0 |
|       1885 |          934 |          1 |             936 |                2 |            1 |             1 |
|       1888 |          575 |          1 |             576 |                1 |            0 |             0 |
|       1937 |          211 |          1 |             213 |                2 |            1 |             1 |
|       1944 |          327 |          1 |             330 |                3 |            2 |             2 |
|       1953 |          119 |          1 |             125 |                6 |            5 |             5 |
|       1978 |          933 |          1 |             934 |                1 |            0 |             0 |
|       1980 |          890 |          1 |             892 |                2 |            1 |             1 |
|       2007 |          714 |          1 |             718 |                4 |            3 |             3 |
|       2030 |          367 |          1 |             376 |                9 |            8 |             8 |
|       2064 |          734 |          1 |             736 |                2 |            1 |             1 |
|       2071 |          878 |          1 |             880 |                2 |            1 |             1 |
|       2097 |          809 |          1 |             810 |                1 |            0 |             0 |
|       2183 |          448 |          1 |             453 |                5 |            4 |             4 |
|       2203 |          184 |          1 |             189 |                5 |            4 |             4 |
|       2216 |          485 |          1 |             488 |                3 |            2 |             2 |
|       2236 |          579 |          1 |             583 |                4 |            3 |             3 |
|       2272 |          578 |          1 |             585 |                7 |            6 |             6 |
|       2275 |          645 |          1 |             653 |                8 |            7 |             7 |
|       2287 |          610 |          1 |             611 |                1 |            0 |             0 |
|       2304 |          589 |          1 |             591 |                2 |            1 |             1 |
|       2308 |          990 |          1 |             995 |                5 |            4 |             4 |
|       2309 |          737 |          1 |             738 |                1 |            0 |             0 |
|       2339 |          322 |          1 |             324 |                2 |            1 |             1 |
|       2385 |          829 |          1 |             831 |                2 |            1 |             1 |
|       2395 |          491 |          1 |             494 |                3 |            2 |             2 |
|       2415 |          846 |          1 |             852 |                6 |            5 |             5 |
|       2441 |          176 |          1 |             183 |                7 |            6 |             6 |
|       2448 |           37 |          1 |              67 |               30 |           29 |            29 |
|       2466 |          412 |          1 |             415 |                3 |            2 |             2 |
|       2484 |          495 |          1 |             496 |                1 |            0 |             0 |
|       2499 |          959 |          1 |             960 |                1 |            0 |             0 |
|       2510 |          528 |          1 |             531 |                3 |            2 |             2 |
|       2514 |          140 |          1 |             141 |                1 |            0 |             0 |
|       2519 |          754 |          1 |             756 |                2 |            1 |             1 |
|       2553 |          321 |          1 |             326 |                5 |            4 |             4 |
|       2558 |          558 |          1 |             559 |                1 |            0 |             0 |
|       2576 |           47 |          1 |              73 |               26 |           25 |            25 |
|       2587 |          811 |          1 |             812 |                1 |            0 |             0 |
|       2614 |          949 |          1 |             950 |                1 |            0 |             0 |
|       2634 |          547 |          1 |             548 |                1 |            0 |             0 |
|       2637 |          480 |          1 |             484 |                4 |            3 |             3 |
|       2644 |          378 |          1 |             380 |                2 |            1 |             1 |
|       2646 |          519 |          1 |             521 |                2 |            1 |             1 |
|       2717 |          329 |          1 |             332 |                3 |            2 |             2 |
|       2746 |          667 |          1 |             669 |                2 |            1 |             1 |
|       2751 |          466 |          1 |             467 |                1 |            0 |             0 |
|       2755 |          870 |          1 |             872 |                2 |            1 |             1 |
|       2766 |          221 |          1 |             225 |                4 |            3 |             3 |
|       2825 |          645 |          1 |             655 |               10 |            9 |             9 |
|       2851 |          137 |          1 |             139 |                2 |            1 |             1 |
